cena_m2,powierzchnia,rok_budowy,pietro,pietro_max,winda,balkon,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,odleglosc_metro,odleglosc_centrum,agencja,spoldzielcze,remont,wykonczenie
11816.0,80.4,1994.0,1.0,3.0,0,1,0,52.2524675,20.923903,1.34999078049814,6.050306603872151,1,1,0,0
21463.0,61.5,2015.0,6.0,8.0,1,1,0,52.23338,20.95718,0.516288274720546,3.333275285632626,1,0,0,0
13433.0,268.0,2008.0,0.0,3.0,0,0,1,52.1634112,21.087332,3.451264393694954,9.40123109434358,1,0,0,0
16964.0,47.1,1969.0,2.0,4.0,0,1,0,52.1917857,20.9902671,1.003518144883231,4.568852216472362,1,1,0,0
21122.0,49.0,1950.0,4.0,6.0,1,0,0,52.21837,21.02015,0.78229336938636,1.768044895436619,1,0,0,0
13386.0,104.21,2009.0,3.0,4.0,0,1,1,52.32638,20.9476,4.627934335162542,11.251788056664848,1,0,0,0
16633.0,30.0,1955.0,1.0,5.0,0,0,0,52.23246,20.97224,0.5449120487845092,2.3040332580744862,1,0,1,0
16594.0,66.65,2018.0,6.0,6.0,1,1,0,52.16249529428385,20.994648901605213,1.7668109910739995,7.736569847741695,1,0,0,0
16489.0,49.73,2020.0,3.0,8.0,1,1,0,52.2489776,21.0458669,0.3355864489663862,3.321554832583444,1,0,0,0
17452.0,41.83,2020.0,4.0,4.0,0,0,0,52.18424,20.8892,6.445654910903123,9.553509052770616,1,0,0,0
20597.0,33.5,2020.0,2.0,4.0,1,1,0,52.1663974,21.0642886,2.383527109453972,8.277290163136922,1,0,0,0
15455.0,55.0,1950.0,5.0,6.0,1,0,0,52.24630952825791,20.956407523803698,0.7736571520344738,3.749409001025108,0,0,0,0
15541.0,37.0,1972.0,6.0,12.0,1,0,0,52.2785217,20.9168395,1.8604800389529663,7.997268760718032,0,1,0,0
24505.0,80.8,2018.0,1.0,5.0,1,1,0,52.2279436,20.9586224,0.8012933780483431,3.2573078673224094,1,0,0,0
15319.0,47.0,1973.0,1.0,4.0,0,1,0,52.19874,21.03597,2.3385608335867425,4.195664264295156,1,0,0,0
14069.0,46.2,1978.0,5.0,7.0,1,1,0,52.165514484708304,21.029070499999992,0.7728268007136785,7.527059963350408,1,1,0,0
19706.0,23.8,2023.0,0.0,2.0,0,0,0,52.2091688,20.9333631,3.4577709501607345,5.550251028396064,1,0,0,0
24555.0,48.87,2019.0,3.0,9.0,1,1,0,52.25810074665213,20.969739104385376,1.4729423007600608,3.8362095004604586,0,0,0,0
17950.0,94.15,2011.0,2.0,14.0,1,1,0,52.17361,21.03172,0.9161349742924976,6.694165475601143,1,0,0,0
34978.0,20.87,1964.0,0.0,10.0,1,0,0,52.23004,20.9975,0.3021404099290739,0.6115281537928494,1,0,0,0
11471.0,68.0,1962.0,2.0,4.0,0,1,0,52.1938189,20.8937024,5.337194076574401,8.738036765538759,0,1,0,0
13793.0,58.0,1960.0,3.0,3.0,0,0,0,52.25057878541498,21.095287258058168,3.6249236259730138,6.427772468273925,0,1,0,0
12973.0,74.0,1960.0,0.0,3.0,0,0,0,52.19029676035171,20.979438209509265,1.714651847005105,4.950101281229394,0,0,1,0
47080.0,274.0,2015.0,1.0,5.0,1,1,1,52.208093,21.03581,1.877534149889148,3.3184585772468003,1,0,0,0
19800.0,50.0,1952.0,0.0,3.0,0,1,0,52.20701087000226,21.03939860740966,2.149655513235213,3.565106047213668,0,0,0,0
14271.0,70.0,2005.0,0.0,6.0,1,0,0,52.2225,21.09296,4.379695597948731,6.007622685607878,1,0,0,0
